[Data],,,
,Trunk Angle,Hip Angle,Knee Angle
,Trunk Flexion / Extension Joint Angle (deg),Hip Flexion / Extension Joint Angle (deg),Knee Flexion / Extension Joint Angle (deg)
Index,Series,Series,Series
408,-12.942156,-6.082708,1.928981
409,-12.962454,-6.076277,1.918059
410,-12.951103,-6.124679,1.86002
411,-12.949964,-6.111978,1.879608
412,-12.961384,-6.05761,1.900303
413,-12.944612,-6.104544,1.876329
414,-12.931417,-6.117466,1.890241
415,-12.953918,-6.090419,1.872864
416,-12.962377,-6.056854,1.889975
417,-12.945779,-6.086543,1.878748
418,-12.958828,-6.046912,1.887558
419,-12.957739,-6.053819,1.893196
420,-12.958,-6.018576,1.936812
421,-12.9546,-6.043474,1.879752
422,-12.945142,-6.052445,1.892009
423,-12.987188,-6.014358,1.894871
424,-12.992018,-5.986082,1.917809
425,-12.982252,-5.992895,1.930121
426,-12.974182,-6.00439,1.922195
427,-12.985271,-5.968324,1.945783
428,-12.995345,-5.97332,1.940088
429,-12.998414,-5.989123,1.912666
430,-13.006265,-5.966211,1.939987
431,-12.994651,-5.978839,1.949035
432,-12.99081,-5.973284,1.969661
433,-12.987287,-5.978625,1.959653
434,-12.995949,-5.963475,1.974583
435,-12.973692,-5.97082,1.989311
436,-12.98535,-5.979258,1.954764
437,-12.995723,-5.966805,1.947954
438,-12.985739,-5.971834,1.967081
439,-12.986255,-5.949958,1.995921
440,-13.015501,-5.944362,1.965549
441,-12.98708,-5.962009,1.968403
442,-13.036602,-5.941281,1.963089
443,-12.993612,-5.968634,1.958136
444,-13.036307,-5.985179,1.921831
445,-13.006847,-5.994687,1.940162
446,-13.019155,-6.005865,1.929328
447,-13.008938,-6.008516,1.94144
448,-13.019523,-6.011392,1.932132
449,-13.022958,-6.011909,1.924581
450,-13.008743,-6.031131,1.922708
451,-13.024519,-6.028461,1.911075
452,-13.02715,-6.050406,1.888647
453,-13.006929,-6.065013,1.905548
454,-13.026524,-6.097267,1.898363
455,-13.019178,-6.068577,1.879527
456,-13.011334,-6.082528,1.903301
457,-12.99954,-6.098802,1.865819
458,-13.015317,-6.100113,1.883835
459,-13.022427,-6.106179,1.887608
460,-13.003024,-6.087187,1.905884
461,-13.001421,-6.093129,1.904992
462,-13.022554,-6.056475,1.919404
463,-13.037399,-6.041631,1.931135
464,-13.066627,-6.026593,1.901923
465,-13.068091,-6.033634,1.923978
466,-13.067586,-6.054111,1.902427
467,-13.082014,-6.044145,1.920094
468,-13.085871,-6.051662,1.90016
469,-13.092389,-6.031611,1.913357
470,-13.104021,-6.013291,1.922928
471,-13.091352,-6.037788,1.912036
472,-13.105952,-5.996966,1.943515
473,-13.102839,-6.011986,1.947228
474,-13.101856,-6.015017,1.937204
475,-13.098767,-6.021861,1.944892
476,-13.086193,-6.05213,1.905452
477,-13.098917,-6.032219,1.924365
478,-13.113113,-6.008707,1.936396
479,-13.086788,-6.046595,1.92009
480,-13.108338,-6.011862,1.926749
481,-13.104795,-6.014408,1.930797
482,-13.099739,-6.049068,1.924728
483,-13.088843,-6.056099,1.94119
484,-13.114663,-6.031627,1.963623
485,-13.084412,-6.073318,1.936268
486,-13.103086,-6.052782,1.94403
487,-13.101538,-6.058112,1.944211
488,-13.100348,-6.065517,1.931159
489,-13.081003,-6.078299,1.94564
490,-13.078916,-6.07622,1.952663
491,-13.095415,-6.075239,1.938734
492,-13.090124,-6.081232,1.95835
493,-13.093659,-6.052843,1.969716
