X [],R.RA: EMG 1 (from NSF2_Back_Tuck_Somersault_Rep_4.16) ->Filter->RMS [],R.ES: EMG 2 (from NSF2_Back_Tuck_Somersault_Rep_4.16) ->Filter->RMS [],R.IL: EMG 3 (from NSF2_Back_Tuck_Somersault_Rep_4.16) ->Filter->RMS [],R.Gmax: EMG 4 (from NSF2_Back_Tuck_Somersault_Rep_4.16) ->Filter->RMS [],R.RF: EMG 5 (from NSF2_Back_Tuck_Somersault_Rep_4.16) ->Filter->RMS [],R.BF: EMG 6 (from NSF2_Back_Tuck_Somersault_Rep_4.16) ->Filter->RMS [],R.TA&IO: EMG 7 (from NSF2_Back_Tuck_Somersault_Rep_4.16) ->Filter->RMS [],R.MF: EMG 8 (from NSF2_Back_Tuck_Somersault_Rep_4.16) ->Filter->RMS []
0.191,0.0255235682,0.0567196804,0.0803554547,0.0027562273,0.0238837012,0.2680367872,0.1614883846,0.0336390751
0.192,0.0255540259,0.0561543680,0.0827188504,0.0029254442,0.0246234618,0.2523722996,0.1774690060,0.0332653076
0.193,0.0254626527,0.0575676491,0.0861730442,0.0029541250,0.0249405021,0.2262648203,0.2624186250,0.0327046564
0.194,0.0247012098,0.0598288988,0.0894454383,0.0029541250,0.0238837012,0.2001573411,0.3280232812,0.0360685639
0.195,0.0261631803,0.0604884299,0.0914452347,0.0028537421,0.0227212201,0.1775308590,0.3301259946,0.0398062389
0.196,0.0264372997,0.0593578051,0.0921724334,0.0027676997,0.0207132984,0.1510752800,0.3440039026,0.0398062389
0.197,0.0268332501,0.0580387427,0.0923542330,0.0027447550,0.0195508173,0.1321038451,0.3768062308,0.0401800064
0.198,0.0275946930,0.0570965554,0.0936268307,0.0027132061,0.0189167368,0.1200944046,0.4062442175,0.0401800064
0.199,0.0275642353,0.0554006181,0.0947176288,0.0028135890,0.0189167368,0.0964236234,0.4091880162,0.0407406577
0.200,0.0273814890,0.0521029622,0.0972628241,0.0029541250,0.0188110567,0.0884173298,0.4247480949,0.0399931227
0.201,0.0271378273,0.0472978066,0.0985354218,0.0030114867,0.0178599358,0.0837179835,0.4289535216,0.0396193552
0.202,0.0251885333,0.0438117133,0.0988990212,0.0029254442,0.0178599358,0.0830217841,0.4373643750,0.0392455877
0.203,0.0222036769,0.0424926509,0.0979900228,0.0028336656,0.0179656159,0.0821515348,0.4415698017,0.0390587039
0.204,0.0218381842,0.0422099947,0.1005352182,0.0026128232,0.0177542557,0.0795407868,0.4499806550,0.0390587039
0.205,0.0216249802,0.0424926509,0.0985354218,0.0024894956,0.0188110567,0.0769300389,0.4583915084,0.0401800064
