[Data],,,,
,Trunk Angle,R.Hip Angle,R.Knee Angle,Ankle Angle
,Trunk Angle,R.Hip Angle,R.Knee Angle,Ankle Angle
Index,Series,,,Series
358,7.172779,16.282307,-1.349236,-6.644905
359,7.204045,16.303284,-1.357701,-6.639565
360,7.245054,16.333487,-1.363329,-6.634857
361,7.287641,16.366327,-1.363992,-6.629967
362,7.324144,16.394812,-1.359997,-6.624527
363,7.351778,16.416138,-1.353469,-6.618294
364,7.37098,16.429367,-1.345686,-6.610535
365,7.383503,16.434921,-1.337208,-6.601135
366,7.392186,16.434427,-1.327148,-6.590271
367,7.401843,16.43199,-1.313991,-6.578651
368,7.416559,16.431246,-1.295925,-6.566872
369,7.438046,16.43479,-1.272674,-6.554977
370,7.464698,16.444262,-1.246812,-6.542351
371,7.493079,16.46007,-1.221364,-6.528046
372,7.518779,16.480013,-1.197776,-6.511574
373,7.539147,16.500536,-1.176808,-6.493416
374,7.555713,16.518785,-1.15874,-6.474266
375,7.573749,16.533966,-1.142709,-6.455048
376,7.599202,16.548651,-1.127946,-6.437378
377,7.633443,16.565393,-1.113937,-6.422401
378,7.676131,16.586376,-1.099567,-6.409218
379,7.72634,16.612698,-1.084099,-6.395638
380,7.781057,16.643913,-1.068228,-6.379646
381,7.833827,16.676928,-1.052897,-6.360397
382,7.878675,16.707933,-1.037611,-6.338097
383,7.914547,16.735601,-1.02082,-6.313759
384,7.943521,16.760574,-1.00144,-6.289284
385,7.968434,16.783276,-0.97922,-6.266312
386,7.994377,16.804127,-0.953285,-6.243843
387,8.02997,16.825087,-0.921451,-6.218353
388,8.083102,16.848345,-0.880217,-6.1866
389,8.155804,16.87472,-0.827813,-6.148529
390,8.244515,16.904684,-0.766673,-6.106789
391,8.344105,16.939596,-0.702715,-6.064552
392,8.449124,16.979282,-0.639566,-6.022522
393,8.548521,17.016417,-0.574612,-5.977631
394,8.627071,17.038794,-0.500936,-5.925041
395,8.675557,17.040239,-0.413221,-5.862167
396,8.696737,17.025953,-0.31191,-5.790344
397,8.704015,17.007229,-0.200274,-5.712189
398,8.714886,16.994396,-0.08168,-5.630356
399,8.742651,16.992174,0.043185,-5.546585
400,8.79248,16.996853,0.178634,-5.459892
401,8.863161,17.000599,0.330028,-5.366127
402,8.950415,16.999197,0.497619,-5.260422
403,9.050351,16.995604,0.675907,-5.13987
404,9.158809,16.993343,0.859554,-5.004585
405,9.269567,16.990454,1.048905,-4.858139
406,9.372917,16.977081,1.251994,-4.706841
407,9.461337,16.940861,1.481732,-4.554848
408,9.534451,16.874563,1.748411,-4.399651
409,9.598372,16.780228,2.054261,-4.235008
410,9.656648,16.663317,2.393847,-4.057487
411,9.70936,16.527925,2.760385,-3.867157
412,9.754539,16.372185,3.150973,-3.665642
413,9.792976,16.191317,3.5673,-3.454903
414,9.830365,15.983923,4.013679,-3.236107
415,9.875787,15.75461,4.495905,-3.008377
416,9.93442,15.50941,5.018107,-2.770081
417,10.005533,15.250897,5.581031,-2.521034
418,10.085169,14.975737,6.18417,-2.262352
419,10.171575,14.678026,6.829665,-1.994377
420,10.26366,14.350807,7.524284,-1.715164
421,10.359679,13.986818,8.279024,-1.421211
422,10.456938,13.579462,9.106178,-1.109161
423,10.550235,13.123425,10.013775,-0.778198
424,10.632061,12.618476,10.995714,-0.434334
425,10.6956,12.076227,12.022727,-0.092285
426,10.738507,11.520538,13.047907,0.229683
427,10.76498,10.977051,14.029997,0.515724
428,10.786454,10.461152,14.956243,0.756218
429,10.820644,9.976034,15.843822,0.950348
430,10.882464,9.513987,16.722944,1.104958
431,10.97714,9.061281,17.617022,1.226685
432,11.100389,8.606068,18.532595,1.316154
433,11.24255,8.14605,19.459404,1.368248
434,11.395234,7.690239,20.377808,1.376381
435,11.559945,7.246771,21.275148,1.337296
436,11.747508,6.805779,22.16036,1.25486
437,11.97024,6.347015,23.055132,1.141724
438,12.232792,5.86431,23.969955,1.016014
439,12.526856,5.37936,24.887777,0.890251
440,12.830864,4.926618,25.770723,0.763908
441,13.116603,4.523983,26.58522,0.630753
442,13.361176,4.165061,27.318562,0.489731
443,13.55397,3.834754,27.971474,0.343735
444,13.700079,3.528403,28.54413,0.194695
445,13.812882,3.252033,29.033886,0.04438
446,13.904346,3.011708,29.440886,-0.103569
447,13.982318,2.806002,29.770927,-0.243034
448,14.055196,2.62385,30.037945,-0.364052
449,14.130615,2.440932,30.264463,-0.456116
450,14.211325,2.22857,30.472868,-0.51487
451,14.29458,1.973672,30.670967,-0.544823
452,14.376264,1.685188,30.850794,-0.556595
453,14.4522,1.380709,30.998581,-0.561043
454,14.516744,1.072436,31.102543,-0.562904
455,14.565218,0.764942,31.15567,-0.561745
456,14.601666,0.463302,31.155878,-0.560051
457,14.635944,0.172509,31.105808,-0.566299
458,14.676553,-0.105486,31.009926,-0.590652
459,14.724702,-0.372343,30.871588,-0.641151
460,14.77683,-0.629865,30.693537,-0.722305
461,14.829991,-0.877501,30.479128,-0.833488
462,14.884307,-1.112606,30.230448,-0.969688
463,14.939327,-1.33461,29.946558,-1.125702
464,14.994333,-1.544391,29.62554,-1.298805
465,15.050776,-1.740922,29.267599,-1.487251
466,15.112314,-1.920629,28.874395,-1.69017
467,15.180204,-2.083061,28.447464,-1.909111
468,15.25071,-2.234257,27.988232,-2.146683
469,15.319571,-2.379689,27.497252,-2.403755
470,15.38555,-2.518791,26.974764,-2.680191
471,15.448558,-2.649215,26.423386,-2.977676
472,15.508795,-2.769742,25.846989,-3.301193
473,15.56557,-2.880192,25.247843,-3.657341
474,15.613963,-2.983137,24.627087,-4.050529
475,15.647903,-3.082312,23.984972,-4.478531
476,15.668756,-3.177674,23.320257,-4.931168
477,15.68718,-3.263861,22.632824,-5.39537
478,15.714912,-3.335495,21.92745,-5.861794
479,15.757173,-3.391167,21.212219,-6.326019
480,15.81209,-3.432823,20.493799,-6.786537
481,15.873493,-3.465188,19.774416,-7.24353
482,15.933506,-3.492784,19.050348,-7.69722
483,15.981803,-3.519632,18.314924,-8.1446
484,16.010798,-3.548475,17.563894,-8.579544
485,16.019581,-3.580962,16.797287,-8.998238
