X [],R ILIOPSOAS: EMG 1->Filter->MAV->RMS [],L ILIOPSOAS: EMG 2->Filter->MAV->RMS [],R GLUTEUS MAXIMUS: EMG 4 (IM)->Filter->MAV->RMS [],L GLUTEUS MAXIMUS: EMG 5->Filter->MAV->RMS [],R RECTUS ABDOMINIS: EMG 6->Filter->MAV->RMS [],L RECTUS ABDOMINIS: EMG 7->Filter->MAV->RMS [],R ERECTOR SPINAE: EMG 8->Filter->MAV->RMS [],L ERECTOR SPINAE: EMG 9->Filter->MAV->RMS [],R RECTUS FEMORIS: EMG 10->Filter->MAV->RMS [],L RECTUS FEMORIS: EMG 11->Filter->MAV->RMS [],R BICEPS FEMORIS: EMG 12->Filter->MAV->RMS [],L BICEPS FEMORIS: EMG 13->Filter->MAV->RMS []
0.96,0.000136108,4.05765E-05,5.69589E-06,0.000141362,3.24595E-05,1.06208E-05,7.53298E-05,5.90359E-06,0.00021448,7.64223E-06,1.28812E-05,0.000120565
0.97,0.000149421,4.09806E-05,6.60844E-06,0.000141365,3.29038E-05,1.02619E-05,7.69117E-05,5.39576E-06,0.000198244,7.81701E-06,1.41885E-05,0.000122275
0.98,0.000159458,4.08331E-05,6.51538E-06,0.000140843,3.34167E-05,1.04445E-05,7.74018E-05,5.19899E-06,0.00019775,7.69893E-06,1.41111E-05,0.000117336
0.99,0.000165486,4.00811E-05,5.92178E-06,0.000140958,3.33015E-05,1.13949E-05,7.91263E-05,5.82302E-06,0.000223398,7.4208E-06,1.42652E-05,0.000118135
1,0.000168129,3.7491E-05,6.36573E-06,0.000141277,3.34001E-05,1.15653E-05,7.75459E-05,5.62703E-06,0.000219198,7.94744E-06,1.49451E-05,0.000123807
1.01,0.000165095,3.53701E-05,6.27613E-06,0.000140838,3.35825E-05,1.09076E-05,7.34511E-05,6.01826E-06,0.000209944,8.11708E-06,1.42709E-05,0.000120771
1.02,0.00015466,3.82651E-05,6.10169E-06,0.000140099,3.37356E-05,9.89361E-06,7.51059E-05,6.29948E-06,0.000227067,7.5512E-06,1.30614E-05,0.000115789
1.03,0.000151858,4.03587E-05,6.1071E-06,0.000140822,3.28168E-05,1.02837E-05,7.7186E-05,5.9034E-06,0.000236288,7.06348E-06,1.22823E-05,0.000116081
1.04,0.000153082,3.99391E-05,6.17724E-06,0.000141908,3.23154E-05,1.08316E-05,7.77295E-05,6.09059E-06,0.000211042,7.12806E-06,1.21178E-05,0.000113436
1.05,0.000147198,3.98829E-05,6.11797E-06,0.000141818,3.2612E-05,1.07639E-05,7.99404E-05,6.33424E-06,0.00018508,7.4268E-06,1.36484E-05,0.00011116
1.06,0.000147377,4.02752E-05,6.65593E-06,0.000141626,3.28128E-05,1.0965E-05,7.97924E-05,5.75686E-06,0.0001955,7.88956E-06,1.39571E-05,0.000117217
1.07,0.000145052,4.0323E-05,6.7345E-06,0.000142105,3.28059E-05,1.12355E-05,7.66927E-05,5.46033E-06,0.000207028,7.86352E-06,1.35928E-05,0.000119883
1.08,0.000150192,3.92493E-05,6.25909E-06,0.000141866,3.28175E-05,1.10182E-05,7.62608E-05,5.93454E-06,0.000216547,7.64409E-06,1.46954E-05,0.000115735
1.09,0.000159614,3.89973E-05,6.48057E-06,0.000141105,3.20607E-05,1.08831E-05,7.63888E-05,5.72956E-06,0.000233835,7.47454E-06,1.48925E-05,0.000114593
1.1,0.000155469,3.80561E-05,6.8417E-06,0.000141272,3.15432E-05,9.94086E-06,7.79935E-05,5.59798E-06,0.000233362,7.38553E-06,1.43726E-05,0.000119187
1.11,0.000146883,3.59279E-05,6.59858E-06,0.000141626,2.86347E-05,8.3041E-06,7.95125E-05,5.17958E-06,0.000230128,7.68455E-06,1.34145E-05,0.000117672
1.12,0.000122103,3.76429E-05,6.28989E-06,0.000141687,2.68779E-05,6.76917E-06,7.81796E-05,4.40626E-06,0.000236887,7.91439E-06,1.33176E-05,0.000115964
1.13,0.000111996,3.79132E-05,6.48876E-06,0.000141557,2.50935E-05,4.83477E-06,7.86043E-05,4.59951E-06,0.000233023,7.58677E-06,1.38984E-05,0.00011725
1.14,0.000137314,3.7804E-05,6.72777E-06,0.000141458,2.58889E-05,7.12054E-06,7.72135E-05,5.72235E-06,0.000226633,7.21573E-06,1.36076E-05,0.000118051
1.15,0.000150306,3.91786E-05,6.64326E-06,0.000141755,2.8627E-05,7.60726E-06,7.47056E-05,6.14242E-06,0.000222613,7.57092E-06,1.42236E-05,0.000116151
1.16,0.000154473,3.96771E-05,6.46182E-06,0.000141591,2.89533E-05,7.16265E-06,7.76511E-05,5.82831E-06,0.000212564,7.73245E-06,1.4874E-05,0.000110455
1.17,0.000160725,3.97754E-05,6.08609E-06,0.000141379,3.18478E-05,8.30599E-06,8.00368E-05,5.81286E-06,0.000206583,7.86105E-06,1.42529E-05,0.000103914
1.18,0.000156629,4.00373E-05,6.25479E-06,0.000142035,3.29603E-05,8.67727E-06,8.0249E-05,5.53007E-06,0.000220026,7.61347E-06,1.27301E-05,0.000106917
