Time (s),RA/ES,IL/GMax,RF/BF,TAIO/MF
3.8000,3.513620,8.774485,1.479007,11.087361
3.8100,3.452304,8.414398,1.521192,13.274727
3.8200,3.047035,7.718633,1.663577,13.343255
3.8300,2.933877,6.523477,1.737436,11.279609
3.8400,2.712532,5.751737,1.952855,11.519713
3.8500,2.883324,5.655169,1.862199,13.162967
3.8600,3.471762,5.811630,1.970225,15.359618
3.8700,3.967156,5.168757,1.824342,13.180807
3.8800,4.013131,5.385623,1.842353,11.287242
3.8900,3.933001,5.237198,1.892944,7.945816
3.9000,4.018218,5.180139,1.736928,6.901450
3.9100,4.068054,5.197296,1.741961,6.443484
3.9200,4.165491,4.937763,1.599732,6.699028
3.9300,4.522219,5.280324,1.561489,7.051017
3.9400,4.583601,7.164444,1.749866,6.815983
3.9500,4.921250,6.972825,2.123997,6.460483
3.9600,4.604533,7.711199,1.739046,6.338923
3.9700,4.276810,8.145840,1.789980,6.287258
3.9800,4.132997,8.246530,1.865902,6.173586
3.9900,4.388624,9.502892,1.976046,9.621388
4.0000,4.751237,10.236899,2.371622,16.155778
4.0100,5.044506,10.877561,2.519106,17.694075
4.0200,4.643854,10.985665,2.536063,21.122527
4.0300,4.427715,10.883653,2.466521,21.367282
4.0400,4.415201,9.621883,2.244024,23.413424
4.0500,3.866974,9.377391,2.179871,23.648906
4.0600,3.946970,8.771336,2.874612,21.697197
4.0700,3.779809,8.894067,2.962058,20.576149
4.0800,4.074236,8.866528,2.438921,22.728846
4.0900,4.222083,9.134238,2.317338,39.802761
4.1000,3.678286,8.770284,2.137043,44.583316
4.1100,3.655081,8.666728,2.109403,49.624675
4.1200,4.016451,9.611922,2.155465,50.722444
4.1300,3.873567,9.338918,2.225350,48.684437
4.1400,5.251679,9.418358,2.355436,48.119360
4.1500,6.747570,10.188637,2.357179,50.800406
4.1600,6.613145,9.991096,2.024325,48.025399
4.1700,6.679415,9.395873,2.112138,39.846780
4.1800,6.473209,9.379675,2.485524,38.337867
4.1900,6.443233,7.620229,2.798588,30.507420
4.2000,6.565905,7.582841,2.639293,28.510932
4.2100,6.853920,7.353797,2.471830,26.961490
4.2200,6.638413,8.210677,2.218212,26.937262
4.2300,6.857731,8.743451,1.949304,28.812216
4.2400,5.631281,8.917105,1.906166,25.946460
4.2500,4.027447,8.989518,1.808464,23.314315
4.2600,6.482151,9.003167,2.037154,20.078908
4.2700,7.789061,9.495373,1.934787,20.278337
4.2800,8.602213,10.349130,1.900995,18.843093
4.2900,10.922169,10.989249,1.779698,15.991047
4.3000,11.406584,11.308143,2.034225,14.135995
4.3100,11.904913,11.410158,2.037648,13.205424
4.3200,12.039777,9.662702,2.024021,11.886431
4.3300,11.998586,10.620698,2.369487,10.430264
4.3400,11.891297,10.820844,2.802406,10.467305
4.3500,11.866894,10.769217,2.819462,10.122811
4.3600,11.430659,9.942172,2.167851,9.725319
4.3700,11.008519,8.831418,2.021507,9.773513
4.3800,10.819394,7.989973,1.911396,9.843264
4.3900,8.149359,7.941254,1.903798,10.657275
4.4000,7.487271,7.673650,1.908396,11.474871
4.4100,5.823491,7.827616,1.937981,12.363975
4.4200,5.080066,7.886705,1.971888,12.770723
4.4300,4.768917,6.430673,1.989997,13.631552
4.4400,4.416938,6.365710,1.714923,14.254313
4.4500,4.346134,5.799029,1.640944,14.370929
4.4600,4.272872,5.922092,2.003120,15.099606
4.4700,4.065012,6.682304,2.009295,15.517287
4.4800,4.094944,6.394936,1.947557,14.002881
4.4900,3.924008,6.162499,1.917105,20.820915
4.5000,3.086253,6.558077,1.882079,19.247304
4.5100,3.333718,6.545048,2.112604,18.099859
4.5200,3.406925,6.300118,2.394340,19.486447
4.5300,3.005349,6.246947,2.136498,20.212916
4.5400,2.912887,6.568331,1.880202,17.911122
4.5500,2.999335,7.578947,1.902923,17.054555
4.5600,2.805867,7.756246,1.860686,16.814332
4.5700,3.000155,8.014758,1.922444,19.433828
4.5800,3.045788,7.826081,2.115814,17.912183
4.5900,3.106686,7.667298,2.336795,14.959990
4.6000,3.469271,8.274611,2.520919,15.067308
4.6100,3.413704,7.695764,2.368921,15.461349
4.6200,3.884572,7.875305,1.810759,15.130444
4.6300,4.310272,8.076299,1.827014,14.688219
4.6400,4.167644,7.933352,1.931996,14.483216
4.6500,4.853865,7.385773,1.917571,14.736198
4.6600,4.613318,6.647178,1.964196,14.811060
4.6700,4.631362,6.916272,1.931947,11.506599
4.6800,4.649185,7.226728,1.971059,11.324895
4.6900,4.740362,7.355338,2.317921,10.643752
4.7000,4.647476,6.822986,2.448113,12.119005
4.7100,4.861600,6.870336,2.397599,12.240183
4.7200,4.687661,6.431803,2.877608,11.184749
4.7300,4.954360,6.333790,2.930665,9.637408
4.7400,5.675961,6.632226,3.683989,10.411180
4.7500,5.254838,6.451522,1.962576,9.509519
4.7600,5.933447,6.513951,1.833418,9.292774
4.7700,6.273384,5.884387,1.849326,10.042358
4.7800,6.447460,5.186943,1.801720,9.170596
4.7900,6.028881,4.925730,1.362276,9.336239
4.8000,5.999965,4.807633,1.061989,8.084102
4.8100,6.192665,4.463070,0.995225,6.527630
4.8200,5.831179,4.204255,1.073973,5.709209
4.8300,4.800567,4.091205,1.124236,5.678074
4.8400,4.802475,2.809966,1.224995,4.512271
4.8500,5.498468,2.358625,2.342652,4.320064
4.8600,5.991629,2.506560,3.160461,4.161222
4.8700,6.476623,2.814837,2.262460,3.712650
4.8800,6.603431,3.153503,2.422195,4.056237
4.8900,6.921214,3.124965,2.348795,3.687297
4.9000,6.582017,3.094743,2.194023,3.665363
4.9100,6.319016,3.534746,2.396982,3.733408
4.9200,6.505335,3.720427,2.242530,3.878381
4.9300,7.094182,3.612862,2.063352,3.817868
4.9400,6.957701,4.269843,1.355427,4.334682
4.9500,5.981837,4.864269,1.225952,5.133910
4.9600,5.440945,5.135802,1.170948,6.061680
4.9700,4.745922,3.847135,1.161839,5.073219
4.9800,4.605359,3.795083,1.066562,4.801258
4.9900,4.153984,4.062029,1.116189,5.080766
5.0000,4.596343,3.964918,1.059382,5.204577
5.0100,4.553833,4.566402,0.969093,5.181784
5.0200,4.697674,4.967857,0.988137,5.471361
5.0300,4.807066,5.630305,1.079085,5.767696
5.0400,4.331953,6.207554,1.348434,5.990325
5.0500,4.518895,6.401540,1.562017,5.627116
