Time (s),Gait Cycle (%),RA/ES,IL/GMax,RF/BF,TAIO/MF,RA/GMax,RA/MF,IL/ES,IL/BF,IL/MF,RF/GMax,TAIO/ES,TAIO/GMax
11.0700,56.77,0.775449,0.508669,1.186241,0.508424,0.750618,0.759395,0.521980,1.060611,0.513388,0.760180,0.516866,0.503787
11.0800,57.24,0.764015,0.519014,1.181496,0.506720,0.768379,0.752610,0.516674,1.062134,0.510543,0.783048,0.512769,0.515077
11.0900,57.70,0.754585,0.518868,1.164754,0.504149,0.769933,0.748523,0.510668,1.082696,0.507416,0.789774,0.507362,0.515466
11.1000,58.17,0.734814,0.520460,1.162169,0.502201,0.768335,0.740089,0.502365,1.086184,0.505227,0.794569,0.499370,0.517265
11.1100,58.63,0.718992,0.520428,1.165414,0.494092,0.768262,0.727900,0.493774,1.088202,0.498629,0.795822,0.489317,0.515523
11.1200,59.10,0.712026,0.520631,1.246491,0.488530,0.765429,0.714398,0.491556,1.085395,0.492860,0.782052,0.487247,0.515846
11.1300,59.56,0.704310,0.520443,1.317062,0.486593,0.757976,0.704233,0.490838,1.082485,0.490796,0.771455,0.486635,0.515766
11.1400,60.03,0.692297,0.520443,1.397104,0.483595,0.753717,0.695630,0.486235,1.087726,0.488111,0.759043,0.481751,0.515367
11.1500,60.49,0.676827,0.520053,1.411198,0.479939,0.745280,0.683438,0.481300,1.091528,0.485086,0.756682,0.476226,0.514209
11.1600,60.96,0.668760,0.519668,1.411427,0.470550,0.743318,0.665463,0.477303,1.097953,0.475402,0.756097,0.472416,0.513959
11.1700,61.42,0.656063,0.519061,1.412631,0.465117,0.740304,0.654637,0.470903,1.091412,0.470075,0.755278,0.465929,0.513117
11.1800,61.89,0.624407,0.517944,1.402178,0.458738,0.735728,0.641765,0.453631,1.087259,0.463844,0.756743,0.448730,0.511695
11.1900,62.35,0.601824,0.514920,1.399852,0.456053,0.722760,0.631022,0.443688,1.079474,0.461197,0.752057,0.438898,0.508624
11.2000,62.82,0.594018,0.505179,1.391625,0.454575,0.704709,0.626817,0.439549,1.080712,0.459298,0.736294,0.435194,0.499554
11.2100,63.29,0.582453,0.499443,1.365736,0.454395,0.684433,0.617418,0.437492,1.102685,0.459016,0.728352,0.433263,0.494046
11.2200,63.75,0.571849,0.497645,1.313950,0.446559,0.673381,0.597827,0.434800,1.136513,0.451121,0.730222,0.430538,0.492179
11.2300,64.22,0.547885,0.488357,1.309963,0.433686,0.654951,0.573920,0.421135,1.135116,0.437751,0.714177,0.417351,0.483384
11.2400,64.68,0.534105,0.474672,1.272861,0.428471,0.632015,0.564268,0.412666,1.145378,0.432038,0.694466,0.409390,0.470427
11.2500,65.15,0.528708,0.467286,1.265031,0.420631,0.618957,0.550704,0.409786,1.144013,0.424002,0.682423,0.406622,0.463251
11.2600,65.61,0.513766,0.450703,1.265031,0.410272,0.594561,0.534645,0.399053,1.137465,0.412576,0.654233,0.396887,0.447987
11.2700,66.08,0.485646,0.429698,1.255903,0.402636,0.561361,0.522708,0.380632,1.150344,0.404860,0.616449,0.378650,0.427212
11.2800,66.54,0.463553,0.401899,1.259172,0.393749,0.516924,0.507714,0.366669,1.137465,0.395882,0.566990,0.364820,0.399704
11.2900,67.01,0.432643,0.378915,1.252024,0.367227,0.481951,0.467190,0.345839,1.150344,0.369098,0.526988,0.344183,0.376949
11.3000,67.47,0.404543,0.360078,1.241663,0.358266,0.451784,0.451994,0.327728,1.137465,0.360221,0.496034,0.326092,0.358125
